time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3.021314,-0.03271484,0.02148438,0.814209,-0.040296483,-0.066621389,-0.084449519
3.045092,-0.03222656,0.02148438,0.814209,-0.093731483,-0.142957389,0.083489381
3.054847,-0.03173828,0.02612305,0.8161621,-0.055563483,-0.196392389,-0.145518219
3.064382,-0.03125,0.02270508,0.8203125,0.036039517,-0.066621389,0.022420681
3.073735,-0.03393555,0.02734375,0.8220215,-0.025029483,0.002080611,-0.061548819
3.08306,-0.03686523,0.02246094,0.8151855,-0.185334483,-0.058988389,-0.160785419
3.092411,-0.0300293,0.02050781,0.8129883,0.058940517,0.108950611,-0.046281619
3.101715,-0.03930664,0.02563477,0.8156738,-0.002128483,-0.104789389,0.144558081
3.111037,-0.03198242,0.02075195,0.8217773,-0.078464483,-0.234560389,-0.084449519
3.120377,-0.03027344,0.02490234,0.8222656,0.043673517,-0.150591389,0.274329081
3.129737,-0.02856445,0.02587891,0.8225098,-0.017395483,0.032614611,-0.168419019
3.153694,-0.03393555,0.02148438,0.8188477,-0.185334483,-0.074255389,0.098756481
3.163528,-0.03076172,0.02148438,0.8244629,-0.108998483,0.017347611,-0.061548819
3.172993,-0.03564453,0.02270508,0.8151855,0.013138517,0.070782611,-0.122617519
3.182404,-0.03051758,0.02148438,0.8171387,0.364283817,0.032614611,0.037687881
3.191753,-0.02832031,0.01757813,0.8149414,-0.025029483,-0.043721389,-0.084449519
3.201094,-0.02539063,0.02124023,0.8183594,-0.124265483,0.024981611,-0.130251019
3.210472,-0.03076172,0.02197266,0.8168945,-0.093731483,0.086049611,-0.061548819
3.219788,-0.03051758,0.02709961,0.8083496,0.097108517,0.055515611,-0.053915219
3.229063,-0.03222656,0.02514648,0.8239746,-0.078464483,0.192920111,-0.023380919
3.238447,-0.03662109,0.02929688,0.8149414,-0.131899483,-0.120057389,-0.031014419
3.262628,-0.03710938,0.02197266,0.8242188,0.051306517,0.086049611,-0.114983919
3.272345,-0.03442383,0.02246094,0.8183594,-0.093731483,0.108950611,-0.122617519
3.281789,-0.03417969,0.02148438,0.8195801,-0.002128483,-0.066621389,-0.130251019
3.291217,-0.02294922,0.02514648,0.8095703,0.203978517,-0.074255389,-0.038648019
3.300517,-0.03417969,0.01855469,0.809082,-0.055563483,-0.165858389,-0.130251019
3.309839,-0.0402832,0.02294922,0.8273926,-0.086097483,0.124217611,0.045321481
3.31926,-0.02905273,0.0222168,0.8054199,-0.116632483,0.093683611,-0.038648019
3.328537,-0.0324707,0.02416992,0.8071289,0.097108517,0.101316611,0.014787081
3.337879,-0.02978516,0.02612305,0.8186035,-0.116632483,0.116584611,0.182725981
3.347196,-0.03393555,0.01904297,0.8127441,-0.040296483,0.139484611,-0.038648019
3.371542,-0.03051758,0.02441406,0.8188477,-0.170067483,-0.043721389,-0.130251019
3.381167,-0.03735352,0.02783203,0.8129883,-0.101365483,-0.058988389,-0.031014419
3.390586,-0.03271484,0.0246582,0.8203125,-0.032662483,-0.127690389,-0.053915219
3.399992,-0.03149414,0.01879883,0.8120117,-0.017395483,-0.005553389,-0.092083219
3.409342,-0.02929688,0.02124023,0.8271484,-0.055563483,0.147118611,0.091122981
3.418728,-0.02880859,0.02246094,0.8195801,-0.070830483,-0.112423389,0.052954981
3.428072,-0.03686523,0.01879883,0.8244629,0.127642517,0.063149611,-0.076815919
3.437407,-0.03613281,0.0234375,0.8154297,0.043673517,0.093683611,-0.084449519
3.446767,-0.02832031,0.02172852,0.8249512,-0.154800483,-0.188759389,0.037687881
